Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
candidate627	0.255199349628237	0.962247002915446	0.349772394473074	0.96381535756926
candidate628	0.0607972988811413	0.962247002915446	0.928892503500216	0.99601666216953
candidate629	0.430974719322495	0.989439858541335	0.725769794671968	0.99601666216953
candidate63	0.87606538158988	0.999994678303908	0.175824883509262	0.96381535756926
candidate630	0.769797946519954	0.999994678303908	0.21163379490442	0.96381535756926
candidate631	0.178754754055129	0.962247002915446	0.225905712786238	0.96381535756926
candidate632	0.387920110106936	0.967427988225044	0.704834933312397	0.99601666216953
candidate633	0.121888196765742	0.962247002915446	0.930661112788477	0.99601666216953
candidate634	0.798187893662617	0.999994678303908	0.342858982624859	0.96381535756926
candidate635	0.492613917754389	0.999240725923241	0.653778553600271	0.99601666216953
candidate636	0.642377328994495	0.999240725923241	0.460796664664596	0.96381535756926
candidate637	0.0562631233934224	0.962247002915446	0.979834406940956	0.996736254736174
candidate639	0.718073785174253	0.999240725923241	0.327959271229197	0.96381535756926
candidate64	0.786578959652311	0.999994678303908	0.150610281907286	0.96381535756926
candidate640	0.147812571114835	0.962247002915446	0.855837639669274	0.99601666216953
candidate641	0.988507194177743	0.999994678303908	0.0241822539296854	0.621448199044666
candidate642	0.504209611254814	0.999240725923241	0.651420201203871	0.99601666216953
candidate643	0.70537536079955	0.999240725923241	0.379782168982196	0.96381535756926
candidate644	0.347347624552525	0.962247002915446	0.775691039355641	0.99601666216953
candidate645	0.854099170822853	0.999994678303908	0.193538452475436	0.96381535756926
candidate646	0.0800541446478619	0.962247002915446	0.964742738636098	0.99601666216953
candidate647	0.649757858610593	0.999240725923241	0.438520453910657	0.96381535756926
candidate648	0.205886273303255	0.962247002915446	0.903641987473009	0.99601666216953
candidate649	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
candidate65	0.375136021051518	0.962247002915446	0.342011541934132	0.96381535756926
candidate650	0.771659826005174	0.999994678303908	0.208521703845572	0.96381535756926
candidate652	0.212634897280243	0.962247002915446	0.691574986182189	0.99601666216953
candidate653	0.290187948587822	0.962247002915446	0.468098252629403	0.96381535756926
candidate654	0.796686942178895	0.999994678303908	0.334942411141818	0.96381535756926
